                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     72,                0.93788,                0.58152,                 1.0568,                0.96575,                0.87222,                0.92741,                0.62641,                 1.2254,                 0.8931,                 1.2613,              0.0012281,              0.0012281,              0.0012281
                     73,                0.98657,                0.62013,                 1.0938,                0.94371,                0.86184,                 0.9237,                0.58924,                 1.2758,                 0.8435,                 1.2955,              0.0012253,              0.0012253,              0.0012253
                     74,                0.97983,                 0.6114,                 1.0743,                 0.9188,                0.90425,                0.94021,                0.59909,                 1.2578,                0.78062,                 1.2838,              0.0012225,              0.0012225,              0.0012225
                     75,                0.92276,                0.58731,                 1.0343,                0.91541,                0.89731,                0.91987,                0.58917,                 1.2266,                 0.7756,                 1.2716,              0.0012196,              0.0012196,              0.0012196
                     76,                0.96263,                0.60382,                 1.0583,                   0.91,                0.90926,                0.91977,                0.59778,                 1.2234,                0.80899,                  1.274,              0.0012168,              0.0012168,              0.0012168
                     77,                0.93233,                0.58881,                 1.0573,                0.91041,                0.90926,                0.91532,                0.58651,                 1.2766,                0.82802,                 1.3135,               0.001214,               0.001214,               0.001214
                     78,                0.97217,                0.58465,                 1.0802,                0.91543,                0.89747,                0.91876,                0.58422,                 1.3274,                0.80509,                 1.3313,              0.0012111,              0.0012111,              0.0012111
                     79,                0.89618,                0.54163,                 1.0326,                0.95424,                0.90699,                0.93423,                0.57951,                 1.3119,                0.80433,                 1.3131,              0.0012083,              0.0012083,              0.0012083
                     80,                0.86735,                0.54564,                 1.0254,                0.90549,                0.93447,                0.93556,                0.60662,                 1.2483,                0.75512,                 1.2768,              0.0012055,              0.0012055,              0.0012055
                     81,                0.93099,                0.54541,                 1.0284,                0.91083,                  0.919,                0.93214,                0.61893,                 1.2324,                0.74977,                 1.2698,              0.0012026,              0.0012026,              0.0012026
                     82,                0.90046,                0.55472,                 1.0444,                0.93466,                0.87222,                0.92965,                0.63175,                 1.1917,                0.70993,                 1.2401,              0.0011998,              0.0011998,              0.0011998
                     83,                0.91099,                0.59595,                 1.0369,                0.92048,                0.89074,                0.93814,                0.63065,                 1.1762,                0.73529,                 1.2345,               0.001197,               0.001197,               0.001197
                     84,                0.91017,                0.55313,                 1.0474,                 0.8829,                0.87222,                0.92727,                0.63674,                 1.1862,                0.77096,                 1.2356,              0.0011942,              0.0011942,              0.0011942
                     85,                0.89452,                0.55199,                 1.0106,                0.91608,                0.87506,                 0.9235,                0.63487,                 1.1887,                0.80701,                 1.2383,              0.0011913,              0.0011913,              0.0011913
                     86,                0.85201,                0.53308,                 1.0072,                0.92599,                0.86781,                0.92137,                0.62787,                 1.1917,                0.79776,                 1.2496,              0.0011885,              0.0011885,              0.0011885
                     87,                0.88098,                0.52343,                 1.0153,                0.93545,                0.88626,                0.92575,                0.62851,                 1.2075,                 0.7765,                 1.2679,              0.0011857,              0.0011857,              0.0011857
                     88,                0.87463,                0.53046,                 1.0265,                0.93362,                0.89074,                0.91138,                0.62407,                 1.1959,                0.78598,                 1.2469,              0.0011828,              0.0011828,              0.0011828
                     89,                0.88958,                0.54738,                 1.0328,                0.92994,                0.88148,                0.91812,                0.64202,                  1.174,                0.77319,                 1.2459,                0.00118,                0.00118,                0.00118
                     90,                0.85124,                 0.4992,                 1.0107,                0.92348,                0.88777,                0.92632,                0.64938,                 1.1458,                0.74107,                  1.229,              0.0011772,              0.0011772,              0.0011772
                     91,                0.88769,                0.51053,                 1.0172,                0.93943,                0.89074,                0.93526,                0.64949,                 1.1589,                0.73772,                 1.2308,              0.0011744,              0.0011744,              0.0011744
                     92,                0.89315,                0.53292,                 1.0552,                0.93049,                0.87757,                0.93808,                0.63494,                 1.1657,                0.72341,                 1.2375,              0.0011715,              0.0011715,              0.0011715
                     93,                0.83961,                0.50504,                0.99755,                0.92684,                0.88148,                0.93394,                0.64157,                 1.1877,                0.73438,                 1.2497,              0.0011687,              0.0011687,              0.0011687
                     94,                0.86566,                0.54143,                  1.028,                  0.897,                0.92495,                0.93388,                 0.6422,                 1.1993,                0.74349,                 1.2696,              0.0011659,              0.0011659,              0.0011659
                     95,                0.84416,                0.51394,                 1.0064,                0.88333,                0.92264,                0.93465,                0.64233,                 1.2091,                0.74141,                 1.2841,               0.001163,               0.001163,               0.001163
                     96,                0.84894,                0.53074,                 1.0237,                0.89132,                0.92007,                0.93247,                0.65777,                 1.1935,                0.73886,                  1.273,              0.0011602,              0.0011602,              0.0011602
                     97,                0.88134,                 0.5223,                 1.0413,                0.94388,                0.87536,                0.92937,                0.65411,                 1.2004,                0.76979,                 1.2859,              0.0011574,              0.0011574,              0.0011574
                     98,                0.88625,                0.52873,                 1.0302,                0.93771,                0.88127,                0.92732,                 0.6545,                 1.2138,                0.75377,                 1.2795,              0.0011545,              0.0011545,              0.0011545
                     99,                0.88556,                0.51101,                 1.0225,                0.95087,                0.88148,                0.93843,                  0.643,                 1.2022,                 0.7125,                 1.2583,              0.0011517,              0.0011517,              0.0011517
                    100,                0.86475,                0.49331,                 1.0228,                 0.9164,                 0.9186,                0.95139,                0.64787,                 1.2026,                 0.7244,                 1.2408,              0.0011489,              0.0011489,              0.0011489
                    101,                0.86718,                0.51164,                 1.0137,                0.92461,                0.89359,                0.94796,                0.65269,                  1.195,                0.74001,                 1.2381,              0.0011461,              0.0011461,              0.0011461
                    102,                0.86057,                0.52094,                 1.0259,                0.90317,                0.93762,                0.95099,                 0.6471,                 1.2236,                 0.7312,                 1.2595,              0.0011432,              0.0011432,              0.0011432
                    103,                 0.8197,                0.48836,                0.98167,                0.89773,                0.93065,                0.94975,                0.63888,                  1.229,                0.70912,                 1.2649,              0.0011404,              0.0011404,              0.0011404
                    104,                0.87512,                0.52447,                 1.0185,                0.92484,                0.91071,                 0.9485,                 0.6542,                  1.214,                0.69837,                 1.2733,              0.0011376,              0.0011376,              0.0011376
                    105,                0.91788,                0.53742,                 1.0558,                0.93334,                    0.9,                0.93963,                0.65216,                 1.2265,                0.72445,                 1.2982,              0.0011347,              0.0011347,              0.0011347
                    106,                0.88301,                 0.5125,                 1.0394,                0.94041,                0.89656,                0.93649,                0.63528,                 1.2126,                0.73363,                 1.2868,              0.0011319,              0.0011319,              0.0011319
